"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\VsCode\ai-companion\app\(auth)\(routes)\sign-in\[[...sign-in]]\page.tsx", "TypeScript JSX", -7, 0, 0, 0, -3, -10
"c:\Users\Administrator\Desktop\VsCode\ai-companion\app\(auth)\(routes)\sign-up\[[...sign-up]]\page.tsx", "TypeScript JSX", -7, 0, 0, 0, -3, -10
"c:\Users\Administrator\Desktop\VsCode\ai-companion\app\(auth)\layout.tsx", "TypeScript JSX", -12, 0, 0, 0, -1, -13
"c:\Users\Administrator\Desktop\VsCode\ai-companion\app\(chat)\(routes)\chat\[chatId]\components\client.tsx", "TypeScript JSX", -65, 0, 0, 0, -12, -77
"c:\Users\Administrator\Desktop\VsCode\ai-companion\app\(chat)\(routes)\chat\[chatId]\page.tsx", "TypeScript JSX", -44, 0, 0, 0, -11, -55
"c:\Users\Administrator\Desktop\VsCode\ai-companion\app\(chat)\layout.tsx", "TypeScript JSX", -12, 0, 0, 0, -2, -14
"c:\Users\Administrator\Desktop\VsCode\ai-companion\app\(root)\(routes)\companion\[companionId]\components\companion-form.tsx", "TypeScript JSX", -228, 0, 0, 0, -14, -242
"c:\Users\Administrator\Desktop\VsCode\ai-companion\app\(root)\(routes)\companion\[companionId]\page.tsx", "TypeScript JSX", -33, 0, 0, 0, -12, -45
"c:\Users\Administrator\Desktop\VsCode\ai-companion\app\(root)\(routes)\page.tsx", "TypeScript JSX", -41, 0, 0, 0, -6, -47
"c:\Users\Administrator\Desktop\VsCode\ai-companion\app\(root)\(routes)\settings\page.tsx", "TypeScript JSX", -15, 0, 0, 0, -4, -19
"c:\Users\Administrator\Desktop\VsCode\ai-companion\app\(root)\layout.tsx", "TypeScript JSX", -22, 0, 0, 0, -3, -25
"c:\Users\Administrator\Desktop\VsCode\ai-companion\app\api\chat\[chatId]\route.ts", "TypeScript", 0, -117, 0, -5, -28, -150
"c:\Users\Administrator\Desktop\VsCode\ai-companion\app\api\companion\[companionId]\route.ts", "TypeScript", 0, -68, 0, 0, -14, -82
"c:\Users\Administrator\Desktop\VsCode\ai-companion\app\api\companion\route.ts", "TypeScript", 0, -37, 0, 0, -9, -46
"c:\Users\Administrator\Desktop\VsCode\ai-companion\app\api\stripe\route.ts", "TypeScript", 0, -58, 0, 0, -10, -68
"c:\Users\Administrator\Desktop\VsCode\ai-companion\app\api\webhook\route.ts", "TypeScript", 0, -56, 0, 0, -12, -68
"c:\Users\Administrator\Desktop\VsCode\ai-companion\app\globals.css", "CSS", 0, 0, -61, 0, -23, -84
"c:\Users\Administrator\Desktop\VsCode\ai-companion\app\layout.tsx", "TypeScript JSX", -32, 0, 0, 0, -6, -38
"c:\Users\Administrator\Desktop\VsCode\ai-companion\components\bot-avatar.tsx", "TypeScript JSX", 13, 0, 0, 0, 3, 16
"c:\Users\Administrator\Desktop\VsCode\ai-companion\components\categories.tsx", "TypeScript JSX", 74, 0, 0, 0, 9, 83
"c:\Users\Administrator\Desktop\VsCode\ai-companion\components\chat-form.tsx", "TypeScript JSX", 33, 0, 0, 0, 4, 37
"c:\Users\Administrator\Desktop\VsCode\ai-companion\components\chat-header.tsx", "TypeScript JSX", 86, 0, 0, 0, 7, 93
"c:\Users\Administrator\Desktop\VsCode\ai-companion\components\chat-message.tsx", "TypeScript JSX", 59, 0, 0, 0, 8, 67
"c:\Users\Administrator\Desktop\VsCode\ai-companion\components\chat-messages.tsx", "TypeScript JSX", 54, 0, 0, 0, 10, 64
"c:\Users\Administrator\Desktop\VsCode\ai-companion\components\companions.tsx", "TypeScript JSX", 64, 0, 0, 0, 4, 68
"c:\Users\Administrator\Desktop\VsCode\ai-companion\components\image-upload.tsx", "TypeScript JSX", 55, 0, 0, 0, 9, 64
"c:\Users\Administrator\Desktop\VsCode\ai-companion\components\mobile-sidebar.tsx", "TypeScript JSX", 19, 0, 0, 0, 3, 22
"c:\Users\Administrator\Desktop\VsCode\ai-companion\components\mode-toggle.tsx", "TypeScript JSX", 36, 0, 0, 0, 5, 41
