"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "XML", "Markdown", "JSON", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\VsCode\ai-companion\.eslintrc.json", "JSON", 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\Administrator\Desktop\VsCode\ai-companion\README.md", "Markdown", 0, 0, 0, 0, 72, 0, 0, 0, 0, 34, 106
"c:\Users\Administrator\Desktop\VsCode\ai-companion\app\(auth)\(routes)\sign-in\[[...sign-in]]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 7, 0, 0, 3, 10
"c:\Users\Administrator\Desktop\VsCode\ai-companion\app\(auth)\(routes)\sign-up\[[...sign-up]]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 7, 0, 0, 3, 10
"c:\Users\Administrator\Desktop\VsCode\ai-companion\app\(auth)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Administrator\Desktop\VsCode\ai-companion\app\(chat)\(routes)\chat\[chatId]\components\client.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 65, 0, 0, 12, 77
"c:\Users\Administrator\Desktop\VsCode\ai-companion\app\(chat)\(routes)\chat\[chatId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 44, 0, 0, 11, 55
"c:\Users\Administrator\Desktop\VsCode\ai-companion\app\(chat)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"c:\Users\Administrator\Desktop\VsCode\ai-companion\app\(root)\(routes)\companion\[companionId]\components\companion-form.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 228, 0, 0, 14, 242
"c:\Users\Administrator\Desktop\VsCode\ai-companion\app\(root)\(routes)\companion\[companionId]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 0, 12, 45
"c:\Users\Administrator\Desktop\VsCode\ai-companion\app\(root)\(routes)\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 0, 6, 47
"c:\Users\Administrator\Desktop\VsCode\ai-companion\app\(root)\(routes)\settings\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 4, 19
"c:\Users\Administrator\Desktop\VsCode\ai-companion\app\(root)\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 22, 0, 0, 3, 25
"c:\Users\Administrator\Desktop\VsCode\ai-companion\app\api\chat\[chatId]\route.ts", "TypeScript", 0, 117, 0, 0, 0, 0, 0, 0, 5, 28, 150
"c:\Users\Administrator\Desktop\VsCode\ai-companion\app\api\companion\[companionId]\route.ts", "TypeScript", 0, 68, 0, 0, 0, 0, 0, 0, 0, 14, 82
"c:\Users\Administrator\Desktop\VsCode\ai-companion\app\api\companion\route.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 9, 46
"c:\Users\Administrator\Desktop\VsCode\ai-companion\app\api\stripe\route.ts", "TypeScript", 0, 58, 0, 0, 0, 0, 0, 0, 0, 10, 68
